number,Repository,question,response,query,label_1,label_2
1,Ohmyzsh,return a commit message on July 31?,I don't know. Can I help with anything else?,"cypher
MATCH (c:Commit)
WHERE c.committedDate =~ '2024-07-31T.*'
RETURN c.message
",Invalid assumptions,
11,Ohmyzsh,return a commit message on July 31?,I don't know. Can I help with anything else?,"cypher
MATCH (c:Commit)
WHERE c.committedDate =~ '2024-07-31T.*'
RETURN c.message
",Invalid assumptions,
6,Ohmyzsh,return a commit message on July 31?,"I don't know, can I help with anything else?","cypher
MATCH (c:Commit)
WHERE c.committedDate =~ '2024-07-31T.*'
RETURN c.message
",Invalid assumptions,
16,Ohmyzsh,return a commit message on July 31?,"I don't know, can I help with anything else?","cypher
MATCH (c:Commit)
WHERE c.committedDate =~ '2024-07-31T.*'
RETURN c.message
",Invalid assumptions,
18,Ohmyzsh,"what commits were buggy on June 08, 2023?","I don't know, can I help with anything else?","cypher
MATCH (c:Commit)-[:introduced]->(i:Issue)
WHERE i.created_at =~ '2023-06-08T.*'
RETURN c
",Misapplied attribute filtering,
13,Ohmyzsh,"what commits were buggy on June 08, 2023?",I don't know. Can I help with anything else?,"cypher
MATCH (c:Commit)-[:introduced]->(i:Issue)
WHERE i.created_at =~ '2023-06-08T.*'
RETURN c
",Misapplied attribute filtering,
8,Ohmyzsh,"what commits were buggy on June 08, 2023?","I don't know which commits were buggy on June 08, 2023. Can I help with anything else?","cypher
MATCH (c:Commit)-[:introduced]->(i:Issue)
WHERE i.created_at =~ '2023-06-08T.*'
RETURN c
",Misapplied attribute filtering,
23,Ohmyzsh,"what commits were buggy on June 08, 2023?","I don't know, can I help with anything else?","cypher
MATCH (c:Commit)-[:introduced]->(i:Issue)
WHERE i.created_at =~ '2023-06-08T.*'
RETURN c
",Misapplied attribute filtering,
3,Ohmyzsh,"what commits were buggy on June 08, 2023?",I don't know. Can I help with anything else?,"cypher
MATCH (c:Commit)-[:introduced]->(i:Issue)
WHERE i.created_at =~ '2023-06-08T.*'
RETURN c
",Misapplied attribute filtering,
29,Ohmyzsh,which developer has most number of bugs yet to be fixed?,"I don't know, can I help with anything else?","cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue {state: 'open'})
RETURN u.login AS developer, COUNT(i) AS open_bugs
ORDER BY open_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
26,Ohmyzsh,which developer has most number of bugs yet to be fixed?,"I don't know, can I help with anything else?","cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue)
WHERE i.state = 'open'
RETURN u.name AS developer, COUNT(i) AS open_bugs
ORDER BY open_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
27,Ohmyzsh,which developer has most number of bugs yet to be fixed?,I don't know. Can I help with anything else?,"cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue {state: 'open'})
RETURN u.login AS developer, COUNT(i) AS open_bugs
ORDER BY open_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
28,Ohmyzsh,which developer has most number of bugs yet to be fixed?,I don't know. Can I help with anything else?,"cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue)
WHERE i.state <> 'closed'
RETURN u.name AS developer, COUNT(i) AS open_bugs
ORDER BY open_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
30,Ohmyzsh,which developer has most number of bugs yet to be fixed?,"I don't know, can I help with anything else?","cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue)
WHERE i.state = 'open'
RETURN u.login AS developer, COUNT(i) AS open_bugs
ORDER BY open_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
22,React,Determine the developers that fixed the most bugs in ReactDOMInput.js?,I don't know. Can I help with anything else?,"cypher
MATCH (u:User)-[:fixed]->(i:Issue)-[:impacted]->(f:File {name: ""ReactDOMInput.js""})
RETURN u.name AS developer, COUNT(i) AS bugs_fixed
ORDER BY bugs_fixed DESC
LIMIT 1
",hallucination,
2,React,Determine the developers that fixed the most bugs in ReactDOMInput.js?,I don't know. Can I help with anything else?,"cypher
MATCH (u:User)-[:fixed]->(i:Issue)-[:impacted]->(f:File {name: ""ReactDOMInput.js""})
RETURN u.name, COUNT(i) AS bugFixes
ORDER BY bugFixes DESC
",hallucination,
28,React,Determine the developers that fixed the most bugs in ReactDOMInput.js?,I don't know. Can I help with anything else?,"cypher
MATCH (u:User)-[:fixed]->(i:Issue)-[:impacted]->(f:File {name: ""ReactDOMInput.js""})
RETURN u.name, COUNT(i) AS bugFixes
ORDER BY bugFixes DESC
LIMIT 1
",hallucination,
15,React,Determine the developers that fixed the most bugs in ReactDOMInput.js?,I don't know. Can I help with anything else?,"cypher
MATCH (u:User)-[:fixed]->(i:Issue)-[:impacted]->(f:File {name: ""ReactDOMInput.js""})
RETURN u.name AS developer, COUNT(i) AS bugs_fixed
ORDER BY bugs_fixed DESC
",hallucination,
8,React,Determine the developers that fixed the most bugs in ReactDOMInput.js?,I don't know. Can I help with anything else?,"cypher
MATCH (f:File {name: ""ReactDOMInput.js""})<-[:impacted]-(i:Issue {type: ""bug""})<-[:fixed]-(c:Commit)<-[:author]-(u:User)
RETURN u.name AS developer, COUNT(i) AS bug_fixes
ORDER BY bug_fixes DESC
LIMIT 1
",hallucination,
27,React,Determine the developers that had the most unfixed bugs?,"The developer with the most unfixed bugs is Brian Vaughn, who has 44 open issues.","cypher
MATCH (u:User)-[:creates]->(i:Issue {state: 'open'})
RETURN u.name AS developer, COUNT(i) AS open_issues
ORDER BY open_issues DESC
LIMIT 1
",Incorrect relationship modelling,
21,React,Determine the developers that had the most unfixed bugs?,"The developer with the most unfixed bugs is Brian Vaughn, who has 44 open issues.","cypher
MATCH (u:User)-[:creates]->(i:Issue {state: 'open'})
RETURN u.name AS developer, COUNT(i) AS open_issues
ORDER BY open_issues DESC
LIMIT 1
",Incorrect relationship modelling,
14,React,Determine the developers that had the most unfixed bugs?,"The developer that had the most unfixed bugs is Brian Vaughn, with 44 open issues.","cypher
MATCH (u:User)-[:creates]->(i:Issue {state: 'open'})
RETURN u.name AS developer, COUNT(i) AS open_issues
ORDER BY open_issues DESC
LIMIT 1
",Incorrect relationship modelling,
1,React,Determine the developers that had the most unfixed bugs?,"The developer with the most unfixed bugs is Brian Vaughn, with 44 open issues.","cypher
MATCH (u:User)-[:creates]->(i:Issue {state: 'open'})
RETURN u.name AS developer, COUNT(i) AS open_issues
ORDER BY open_issues DESC
LIMIT 1
",Incorrect relationship modelling,
7,React,Determine the developers that had the most unfixed bugs?,"The developer with the most unfixed bugs is Brian Vaughn, who has 44 open issues.","cypher
MATCH (u:User)-[:creates]->(i:Issue {state: 'open'})
RETURN u.name AS developer, COUNT(i) AS open_issues
ORDER BY open_issues DESC
LIMIT 1
",Incorrect relationship modelling,
10,React,Determine the files that introduce the most bugs?,"The files that introduce the most bugs are:

1. ReactDOMComponent-test.js with 1 bug
2. ChangeEventPlugin.js with 1 bug
3. ChangeEventPlugin-test.js with 1 bug

Can I help with anything else?","cypher
MATCH (f:File)<-[:impacted]-(i:Issue)<-[:introduced]-(n:Node)
RETURN f.name, COUNT(i) AS bug_count
ORDER BY bug_count DESC
LIMIT 10
",Incorrect relationship modelling,
17,React,Determine the files that introduce the most bugs?,"The files that introduced the most bugs are:

1. ReactDOMComponent-test.js with 1 bug
2. ChangeEventPlugin.js with 1 bug
3. ChangeEventPlugin-test.js with 1 bug

Can I help with anything else?","cypher
MATCH (f:File)<-[:impacted]-(i:Issue)<-[:introduced]-(n:Node)
RETURN f.name, COUNT(i) AS bug_count
ORDER BY bug_count DESC
LIMIT 10
",Incorrect relationship modelling,
30,React,Determine the files that introduce the most bugs?,"The files that introduce the most bugs are `package.json` and `ReactDOMInput-test.js`, each with 5 bugs.","cypher
MATCH (f:File)<-[:changed]-(c:Commit)-[:introduced]->(i:Issue)
RETURN f.name, COUNT(i) AS bug_count
ORDER BY bug_count DESC
",Incorrect relationship modelling,
3,React,Determine the files that introduce the most bugs?,"The files that introduce the most bugs are:

1. ReactDOMComponent-test.js with 1 bug
2. ChangeEventPlugin.js with 1 bug
3. ChangeEventPlugin-test.js with 1 bug

Can I help with anything else?","cypher
MATCH (f:File)<-[:impacted]-(i:Issue)<-[:introduced]-(n:Node)
RETURN f.name, COUNT(i) AS bug_count
ORDER BY bug_count DESC
LIMIT 10
",Incorrect relationship modelling,
23,React,Determine the files that introduce the most bugs?,"The file that introduces the most bugs is ""package.json,"" which has introduced 5 bugs.","cypher
MATCH (f:File)<-[:changed]-(c:Commit)-[:introduced]->(i:Issue)
RETURN f.name, COUNT(i) AS bug_count
ORDER BY bug_count DESC
LIMIT 1
",Incorrect relationship modelling,
6,React,Determine the percentage of the fixing commits that introduced bugs on Nov. 2013?,"I don't know, can I help with anything else?","cypher
MATCH (c1:Commit)-[:fixed]->(i:Issue)-[:introduced]->(c2:Commit)
WHERE c1.committedDate =~ '2013-11-.*'
RETURN (COUNT(c2) * 1.0 / COUNT(c1)) * 100 AS percentage
",Incorrect relationship modelling,Faulty arithmetic logic
36,React,Determine the percentage of the fixing commits that introduced bugs on Nov. 2013?,I don't know the percentage of the fixing commits that introduced bugs in November 2013. Can I help with anything else?,"cypher
MATCH (c1:Commit)-[:fixed]->(i:Issue)<-[:introduced]-(c2:Commit)
WHERE c1.committedDate =~ '2013-11-.*' AND c2.committedDate =~ '2013-11-.*'
WITH count(c1) AS fixingCommits, count(c2) AS introducingCommits
RETURN (toFloat(fixingCommits) / introducingCommits) * 100 AS percentage
",Incorrect relationship modelling,Faulty arithmetic logic
20,React,Determine the percentage of the fixing commits that introduced bugs on Nov. 2013?,"I don't know, can I help with anything else?","cypher
MATCH (c1:Commit)-[:fixed]->(i:Issue)-[:introduced]->(c2:Commit)
WHERE c1.committedDate =~ '2013-11.*'
RETURN (count(c2) * 100.0 / count(c1)) AS percentage
",Incorrect relationship modelling,Faulty arithmetic logic
43,React,Determine the percentage of the fixing commits that introduced bugs on Nov. 2013?,"I don't know, can I help with anything else?","cypher
MATCH (c1:Commit)-[:fixed]->(i:Issue)-[:introduced]->(c2:Commit)
WHERE c1.committedDate =~ '2013-11.*'
RETURN (count(c2) * 1.0 / count(c1)) * 100 AS percentage
",Incorrect relationship modelling,Faulty arithmetic logic
26,React,Determine the percentage of the fixing commits that introduced bugs on Nov. 2013?,I don't know the percentage of the fixing commits that introduced bugs in November 2013. Can I help with anything else?,"cypher
MATCH (c1:Commit)-[:fixed]->(i:Issue)-[:introduced]->(c2:Commit)
WHERE c1.committedDate =~ '2013-11.*'
RETURN (count(c2) * 1.0 / count(c1)) * 100 AS percentage
",Incorrect relationship modelling,Faulty arithmetic logic
41,React,How many fixing commits caused bugs on Nov. 2013?,There were no fixing commits that caused bugs in November 2013. Can I help with anything else?,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)-[:introduced]->(b:Commit)
WHERE c.committedDate =~ '2013-11-.*'
RETURN COUNT(c) AS fixingCommits
",Incorrect relationship modelling,
39,React,How many fixing commits caused bugs on Nov. 2013?,There were no fixing commits that caused bugs in November 2013. Can I help with anything else?,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)-[:introduced]->(b:Commit)
WHERE c.committedDate =~ '2013-11-.*'
RETURN COUNT(DISTINCT c) AS fixingCommits
",Incorrect relationship modelling,
37,React,How many fixing commits caused bugs on Nov. 2013?,There were no fixing commits that caused bugs in November 2013. Can I help with anything else?,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)-[:introduced]->(b:Commit)
WHERE c.committedDate =~ '2013-11-..T..:..:..Z'
RETURN COUNT(DISTINCT c) AS fixingCommits
",Incorrect relationship modelling,Misapplied date formatting
34,React,How many fixing commits caused bugs on Nov. 2013?,There were no fixing commits that caused bugs in November 2013. Can I help with anything else?,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)-[:introduced]->(b:Commit)
WHERE c.committedDate =~ '2013-11-.*'
RETURN COUNT(DISTINCT c) AS fixingCommits
",Incorrect relationship modelling,
44,React,How many fixing commits caused bugs on Nov. 2013?,"In November 2013, there were 10 fixing commits that caused bugs.","cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)
WHERE c.committedDate =~ '2013-11-.*'
RETURN count(c) AS fixingCommits
",Incorrect relationship modelling,
24,React,"what are the buggy commits that happened on March 1, 2022?",I don't know. Can I help with anything else?,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)
WHERE c.committedDate =~ '2022-03-01T.*'
RETURN c
",Incorrect relationship modelling,
11,React,"what are the buggy commits that happened on March 1, 2022?",I don't know. Can I help with anything else?,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)
WHERE c.committedDate =~ '2022-03-01T.*'
RETURN c
",Incorrect relationship modelling,
18,React,"what are the buggy commits that happened on March 1, 2022?","I don't know of any buggy commits that happened on March 1, 2022. Can I help with anything else?","cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)
WHERE c.committedDate STARTS WITH ""2022-03-01""
RETURN c
",Incorrect relationship modelling,
31,React,"what are the buggy commits that happened on March 1, 2022?",I don't know. Can I help with anything else?,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)
WHERE c.committedDate =~ '2022-03-01T.*'
RETURN c
",Incorrect relationship modelling,
4,React,"what are the buggy commits that happened on March 1, 2022?",I don't know. Can I help with anything else?,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)
WHERE c.committedDate =~ '2022-03-01T.*'
RETURN c
",Incorrect relationship modelling,
32,React,"what commits were buggy on April 9, 2021?","I don't know, can I help with anything else?","cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)
WHERE i.closed_at =~ '2021-04-09T.*'
RETURN c
",Incorrect relationship modelling,
25,React,"what commits were buggy on April 9, 2021?",I don't know. Can I help with anything else?,"cypher
MATCH (c:Commit)-[:introduced]->(i:Issue)
WHERE i.created_at =~ '2021-04-09T.*'
RETURN c
",Misapplied attribute filtering,
5,React,"what commits were buggy on April 9, 2021?","I don't know which commits were buggy on April 9, 2021. Can I help with anything else?","cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)
WHERE i.closed_at =~ '2021-04-09T.*'
RETURN c
",Incorrect relationship modelling,
12,React,"what commits were buggy on April 9, 2021?",I don't know. Can I help with anything else?,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)
WHERE i.closed_at =~ '2021-04-09T.*'
RETURN c
",Incorrect relationship modelling,
19,React,"what commits were buggy on April 9, 2021?","I don't know, can I help with anything else?","cypher
MATCH (c:Commit)-[:introduced]->(i:Issue)
WHERE i.created_at =~ '2021-04-09T.*'
RETURN c
",Misapplied attribute filtering,
33,React,which developer has most number of bugs yet to be fixed?,"The developer with the most number of bugs yet to be fixed is Brian Vaughn, with a total of 44 open bugs.","cypher
MATCH (u:User)-[:creates]->(i:Issue {state: 'open'})
RETURN u.name AS developer, COUNT(i) AS open_bugs
ORDER BY open_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
38,React,which developer has most number of bugs yet to be fixed?,"The developer with the most number of bugs yet to be fixed is Brian Vaughn, with a total of 44 open bugs.","cypher
MATCH (u:User)-[:creates]->(i:Issue {state: 'open'})
RETURN u.name AS developer, COUNT(i) AS open_bugs
ORDER BY open_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
40,React,which developer has most number of bugs yet to be fixed?,"The developer with the most number of bugs yet to be fixed is Brian Vaughn, with 44 open bugs.","cypher
MATCH (u:User)-[:creates]->(i:Issue {state: 'open'})
RETURN u.name AS developer, COUNT(i) AS open_bugs
ORDER BY open_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
42,React,which developer has most number of bugs yet to be fixed?,"The developer with the most number of bugs yet to be fixed is Brian Vaughn, with 44 open bugs.","cypher
MATCH (u:User)-[:creates]->(i:Issue {state: 'open'})
RETURN u.name AS developer, COUNT(i) AS open_bugs
ORDER BY open_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
35,React,which developer has most number of bugs yet to be fixed?,"The developer with the most number of bugs yet to be fixed is Loïc Padier, with 1 open bug.","cypher
MATCH (u:User)-[:creates]->(i:Issue {state: 'open'})<-[:introduced]-(c:Commit)
RETURN u.name AS developer, COUNT(i) AS open_bugs
ORDER BY open_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
29,React,who did most fixed bugs in TapEventPlugin.js?,I don't know. Can I help with anything else?,"cypher
MATCH (u:User)-[:fixed]->(i:Issue)-[:impacted]->(f:File {name: ""TapEventPlugin.js""})
RETURN u.name AS user, COUNT(i) AS fixed_bugs
ORDER BY fixed_bugs DESC
LIMIT 1
",hallucination,
16,React,who did most fixed bugs in TapEventPlugin.js?,I don't know. Can I help with anything else?,"cypher
MATCH (u:User)-[:fixed]->(i:Issue)-[:impacted]->(f:File {name: ""TapEventPlugin.js""})
RETURN u.name AS user, COUNT(i) AS fixed_bugs
ORDER BY fixed_bugs DESC
LIMIT 1
",hallucination,
9,React,who did most fixed bugs in TapEventPlugin.js?,"I don't know, can I help with anything else?","cypher
MATCH (u:User)-[:fixed]->(i:Issue)-[:impacted]->(f:File {name: ""TapEventPlugin.js""})
RETURN u.name AS user, COUNT(i) AS fixed_bugs
ORDER BY fixed_bugs DESC
LIMIT 1
",hallucination,
3,Vue,Determine the developers that had the most unfixed bugs?,"The developer with the most unfixed bugs is Evan You, with a total of 2 unfixed bugs.","cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue)
WHERE i.state <> 'closed'
RETURN u.name AS developer, COUNT(i) AS unfixed_bugs
ORDER BY unfixed_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
34,Vue,Determine the developers that had the most unfixed bugs?,"The developer with the most unfixed bugs is sqal, with a total of 7 unfixed bugs.","cypher
MATCH (u:User)-[:creates]->(i:Issue)<-[:introduced]-(c:Commit)
WHERE NOT (c)-[:fixed]->(:Issue)
RETURN u.name AS developer, COUNT(i) AS unfixed_bugs
ORDER BY unfixed_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
27,Vue,Determine the developers that had the most unfixed bugs?,"The developer with the most unfixed bugs is Evan You, with a total of 2 unfixed bugs.","cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue)
WHERE i.state <> 'closed'
RETURN u.name AS developer, COUNT(i) AS unfixed_bugs
ORDER BY unfixed_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
19,Vue,Determine the developers that had the most unfixed bugs?,"The developer with the most unfixed bugs is Evan You, with a total of 2 unfixed bugs.","cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue)
WHERE i.state <> 'closed'
RETURN u.name AS developer, COUNT(i) AS unfixed_bugs
ORDER BY unfixed_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
11,Vue,Determine the developers that had the most unfixed bugs?,"The developer with the most unfixed bugs is Evan You, with a total of 2 unfixed bugs.","cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue)
WHERE i.state <> 'closed'
RETURN u.name AS developer, COUNT(i) AS unfixed_bugs
ORDER BY unfixed_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
36,Vue,Determine the files that introduce the most bugs?,"I don't know, can I help with anything else?","cypher
MATCH (f:File)<-[:changed]-(c:Commit)-[:introduced]->(i:Issue)
RETURN f.name, COUNT(i) AS bug_count
ORDER BY bug_count DESC
LIMIT 1
",Incorrect relationship modelling,
5,Vue,Determine the files that introduce the most bugs?,"The files that introduce the most bugs are:

1. `index.js` with 166 bugs
2. `render.js` with 88 bugs
3. `events.js` and `patch.js` with 69 bugs each
4. `lifecycle.js` with 64 bugs
5. `model.js` with 61 bugs
6. `vnode.js` with 58 bugs
7. `create-component.js` with 50 bugs
8. `component.js` with 49 bugs
9. `compiler.js` with 46 bugs","cypher
MATCH (f:File)<-[:changed]-(c:Commit)-[:introduced]->(i:Issue)
RETURN f.name, COUNT(i) AS bug_count
ORDER BY bug_count DESC
LIMIT 10
",Incorrect relationship modelling,
21,Vue,Determine the files that introduce the most bugs?,I don't know. Can I help with anything else?,"cypher
MATCH (f:File)<-[:changed]-(c:Commit)-[:introduced]->(i:Issue)
RETURN f.name, COUNT(i) AS bug_count
ORDER BY bug_count DESC
LIMIT 1
",Incorrect relationship modelling,
30,Vue,Determine the percentage of the fixing commits that introduced bugs on Oct 2017?,The percentage of the fixing commits that introduced bugs in October 2017 is 100.0%.,"cypher
MATCH (c1:Commit)-[:fixed]->(i:Issue)-[:introduced]-(c2:Commit)
WHERE c1.committedDate =~ '2017-10.*'
RETURN (count(c2) * 1.0 / count(c1)) * 100 AS percentage_of_fixing_commits_introducing_bugs
",Incorrect relationship modelling,Faulty arithmetic logic
23,Vue,Determine the percentage of the fixing commits that introduced bugs on Oct 2017?,The percentage of the fixing commits that introduced bugs in October 2017 is 100%.,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)<-[:introduced]-(c2:Commit)
WHERE c.committedDate =~ '2017-10.*'
RETURN (count(c2) * 1.0 / count(c)) * 100 AS percentage_of_fixing_commits_introducing_bugs
",Incorrect relationship modelling,
15,Vue,Determine the percentage of the fixing commits that introduced bugs on Oct 2017?,The percentage of the fixing commits that introduced bugs in October 2017 is 100%.,"cypher
MATCH (c1:Commit)-[:fixed]->(i:Issue)-[:introduced]-(c2:Commit)
WHERE c1.committedDate =~ '2017-10.*' AND c2.committedDate =~ '2017-10.*'
RETURN (count(c2) * 1.0 / count(c1)) * 100 AS percentage
",Incorrect relationship modelling,
39,Vue,Determine the percentage of the fixing commits that introduced bugs on Oct 2017?,The percentage of the fixing commits that introduced bugs in October 2017 is 100.0%.,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)<-[:introduced]-(c2:Commit)
WHERE c2.committedDate =~ '2017-10.*'
RETURN (count(c) * 100.0 / count(c2)) AS fixingCommitPercentage
",Incorrect relationship modelling,Faulty arithmetic logic
7,Vue,Determine the percentage of the fixing commits that introduced bugs on Oct 2017?,The percentage of the fixing commits that introduced bugs in October 2017 is 100.0%. Can I help with anything else?,"cypher
MATCH (c1:Commit)-[:fixed]->(i:Issue)<-[:introduced]-(c2:Commit)
WHERE c1.committedDate =~ '2017-10.*'
RETURN (count(c2) * 1.0 / count(c1)) * 100 AS percentage
",Incorrect relationship modelling,
24,Vue,How many fixing commits caused bugs on Oct 2017?,There were 33 fixing commits that caused bugs in October 2017.,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)<-[:introduced]-(b:Commit)
WHERE c.committedDate =~ '2017-10.*'
RETURN COUNT(c) AS fixingCommits
",Incorrect relationship modelling,
8,Vue,How many fixing commits caused bugs on Oct 2017?,There were 25 fixing commits that addressed bugs introduced in October 2017.,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)<-[:introduced]-(c2:Commit)
WHERE c2.committedDate =~ '2017-10.*'
RETURN COUNT(c) AS fixingCommits
",Incorrect relationship modelling,
16,Vue,How many fixing commits caused bugs on Oct 2017?,There were no fixing commits that caused bugs in October 2017. Can I help with anything else?,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)-[:introduced]->(b:Commit)
WHERE c.committedDate =~ '2017-10.*'
RETURN COUNT(c) AS fixingCommits
",Incorrect relationship modelling,
31,Vue,How many fixing commits caused bugs on Oct 2017?,There were 25 fixing commits that addressed bugs introduced in October 2017.,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)<-[:introduced]-(c2:Commit)
WHERE c2.committedDate =~ '2017-10.*'
RETURN count(c) AS fixingCommits
",Incorrect relationship modelling,
40,Vue,How many fixing commits caused bugs on Oct 2017?,There were 25 fixing commits that caused bugs in October 2017.,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)<-[:introduced]-(c2:Commit)
WHERE c2.committedDate =~ '2017-10.*'
RETURN COUNT(c) AS fixingCommitsCausingBugs
",Incorrect relationship modelling,
26,Vue,return a commit message on July 31?,"I don't know, can I help with anything else?","cypher
MATCH (c:Commit)
WHERE c.committedDate =~ '2024-07-31T.*'
RETURN c.message
",Invalid assumptions,
2,Vue,return a commit message on July 31?,"I don't know, can I help with anything else?","cypher
MATCH (c:Commit)
WHERE c.committedDate =~ '2024-07-31T.*'
RETURN c.message
",Invalid assumptions,
33,Vue,return a commit message on July 31?,"I don't know, can I help with anything else?","cypher
MATCH (c:Commit)
WHERE c.committedDate =~ '2024-07-31T.*'
RETURN c.message
",Invalid assumptions,
10,Vue,return a commit message on July 31?,"I don't know, can I help with anything else?","cypher
MATCH (c:Commit)
WHERE c.committedDate =~ '2024-07-31T.*'
RETURN c.message
",Invalid assumptions,
18,Vue,return a commit message on July 31?,"I don't know the commit message for July 31, 2024. Can I help with anything else?","cypher
MATCH (c:Commit)
WHERE c.committedDate =~ '2024-07-31T.*'
RETURN c.message
",Invalid assumptions,
14,Vue,what are the bugs caused by commit c678e3134b927645f79270b52d4d660a7e3654ce?,I don't know. Can I help with anything else?,"cypher
MATCH (c:Commit {id: 'c678e3134b927645f79270b52d4d660a7e3654ce'})-[:introduced]->(i:Issue {type: 'bug'})
RETURN i
",Misapplied attribute filtering,
38,Vue,what are the bugs caused by commit c678e3134b927645f79270b52d4d660a7e3654ce?,I don't know. Can I help with anything else?,"cypher
MATCH (c:Commit {id: 'c678e3134b927645f79270b52d4d660a7e3654ce'})-[:introduced]->(i:Issue {type: 'bug'})
RETURN i
",Misapplied attribute filtering,
37,Vue,"what commits were buggy on May 24, 2022?","I don't know, can I help with anything else?","cypher
MATCH (c:Commit)-[:introduced]->(i:Issue)
WHERE i.created_at =~ '2022-05-24T.*'
RETURN c
",Misapplied attribute filtering,
22,Vue,"what commits were buggy on May 24, 2022?","I don't know, can I help with anything else?","cypher
MATCH (c:Commit)-[:introduced]->(i:Issue)
WHERE i.created_at =~ '2022-05-24T.*'
RETURN c
",Misapplied attribute filtering,
29,Vue,"what commits were buggy on May 24, 2022?","I don't know, can I help with anything else?","cypher
MATCH (c:Commit)-[:introduced]->(i:Issue)
WHERE i.created_at =~ '2022-05-24T.*'
RETURN c
",Misapplied attribute filtering,
13,Vue,"what commits were buggy on May 24, 2022?",I don't know. Can I help with anything else?,"cypher
MATCH (c:Commit)-[:introduced]->(i:Issue)
WHERE i.created_at =~ '2022-05-24T.*'
RETURN c
",Misapplied attribute filtering,
6,Vue,"what commits were buggy on May 24, 2022?",I don't know. Can I help with anything else?,"cypher
MATCH (c:Commit)-[:introduced]->(i:Issue)
WHERE i.created_at =~ '2022-05-24T.*'
RETURN c
",Misapplied attribute filtering,
4,Vue,which developer has most number of bugs yet to be fixed?,"The developer with the most number of bugs yet to be fixed is Evan You, with 2 open bugs.","cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue {state: 'open'})
RETURN u.name AS developer, COUNT(i) AS open_bugs
ORDER BY open_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
35,Vue,which developer has most number of bugs yet to be fixed?,"The developer with the most number of bugs yet to be fixed is Evan You, with 2 open bugs.","cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue {state: 'open'})
RETURN u.name AS developer, COUNT(i) AS open_bugs
ORDER BY open_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
28,Vue,which developer has most number of bugs yet to be fixed?,"The developer with the most number of bugs yet to be fixed is Evan You, with 2 open bugs.","cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue {state: 'open'})
RETURN u.name AS developer, COUNT(i) AS open_bugs
ORDER BY open_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
